A	129245	b	2000	ABC	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	155558	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
D	129248	e	2003	DEF	23.23
E	129249	f	2004	EFG	23.23
F	129250	g	2005	FGH	23.23
G	129251	h	2006	GHI	23.23
A	129245	b	2000	ABC	23.23
B	129246	c	2001	BCD	23.23
C	129247	d	2002	CDE	23.23
